lag,n_curves,mean_acf,median_acf,q05,q95,frac_outside_white_noise_band,white_noise_band
1,75,-0.02270047220117589,-0.033549028424233136,-0.16736066404837052,0.1288566799471393,0.02666666666666667,0.18860108793527774
2,75,-0.007561924674153435,-0.01780234556635061,-0.1620891824784091,0.18992263749344507,0.08,0.18860108793527774
3,75,-0.019896156206596807,-0.019785515154250987,-0.15525995399537632,0.13074921851547247,0.04,0.18860108793527774
4,75,-0.02311761389258449,-0.024170142533393276,-0.178493877427107,0.12611777010331246,0.08,0.18860108793527774
5,75,-0.03215577566386379,-0.03138037474995885,-0.16512151317671447,0.1368437783664706,0.013333333333333334,0.18860108793527774
6,75,-0.016539523603815307,-0.02358929886034299,-0.1701501742063873,0.126746525178571,0.05333333333333334,0.18860108793527774
7,75,-0.03368742758558445,-0.035450127106536694,-0.21398328037007397,0.14530909845004003,0.08,0.18860108793527774
8,75,-0.029821619180980703,-0.02335332402742301,-0.15866912821015855,0.10008940920779548,0.013333333333333334,0.18860108793527774
9,75,-0.011899701128916973,-0.0018113612230526278,-0.14257165802854763,0.10094542055027758,0.02666666666666667,0.18860108793527774
10,75,-0.004391880401498995,-0.007059018303919127,-0.13719225842379512,0.11583764760016257,0,0.18860108793527774
11,75,-0.03030072204052831,-0.023586635752058913,-0.1789006271148069,0.09957553717138995,0.06666666666666667,0.18860108793527774
12,75,-0.024148978720139675,-0.017737087561409695,-0.15468050468972463,0.10699369861731672,0.04,0.18860108793527774
13,75,-0.024200000327032126,-0.01111956136065766,-0.19116153593797175,0.16671926537220183,0.09333333333333334,0.18860108793527774
14,75,-0.009940044922812896,-0.0021721110476830385,-0.1522297589846669,0.11509722824893849,0.05333333333333334,0.18860108793527774
15,75,-0.03541868745026552,-0.05182782867272601,-0.18667916089185776,0.15159785897383354,0.08,0.18860108793527774
16,75,-0.019408796175673634,-0.01146980939659932,-0.16265406726014758,0.1162164997172311,0.02666666666666667,0.18860108793527774
17,75,-0.010219129839687476,-0.0029181870900112923,-0.15582496645399538,0.14361701089624407,0.04,0.18860108793527774
18,75,-0.015380336759475914,-0.008748816083720804,-0.15891777020880726,0.10353338030673115,0.013333333333333334,0.18860108793527774
19,75,-0.0072226882729853545,-0.004716159477112497,-0.13870097781238247,0.11037350086316278,0.013333333333333334,0.18860108793527774
20,75,-0.022132570671161884,-0.02057598493158509,-0.15042960511075515,0.11078585520787523,0.02666666666666667,0.18860108793527774
