Taxon,n_rep,corr_observed_replicates,var_logsum_replicates,var_logdif_replicates,ridge_ratio_replicates
Acinetobacter,5,-0.8787028238063788,0.018291114904891336,0.24698264789439286,13.502875531570018
Aeromonas_A,5,-0.9697803277837966,0.030523455764664493,0.17682819842047337,5.7931906460335565
Aeromonas_B,5,-0.5527747613102818,0.020627455691589563,0.058820715447983896,2.851573956935798
Arthrobacter,5,-0.783270052266978,0.015262963837949542,0.053030295555336955,3.4744428486086982
Bacillus,5,-0.9474738842141903,0.014964242132749061,0.2758436800882464,18.433521567027164
Burkholderia,5,-0.602562339863407,0.013984471491812983,0.031381571079535237,2.2440298225004174
Buttiauxella,5,-0.6458081128154639,0.02335039113730942,0.0722007466493356,3.0920572689668027
Chromobacterium,5,-0.8836295487395428,0.014986318056517109,0.04536033072767121,3.026782866652516
Chryseobacterium,5,-0.17540383632768108,0.02957333070927124,0.03468062806018151,1.1726994298044735
Flavobacterium_A,5,-0.5584455184622531,0.038019696481304495,0.13011617959400573,3.422336095133953
Flavobacterium_B,5,0.5001356747872038,0.12791993136795068,0.062318146128108196,0.48716525612303063
Herbaspirillum,5,-0.9051729648582703,0.002046058884841526,0.03520929526270094,17.208348950048922
Pseudomonas,5,-0.6005556221410404,0.09811634163470159,0.2026176784600957,2.065075756844508
Serratia,5,-0.8378144905391648,0.06649905404602476,0.21625606647086337,3.2520171839014442
Yersinia,5,-0.5725697511856889,0.03301175578120655,0.08245228459472664,2.4976643211951295
